date,site,latitude,longitude,chl,temp,turb,tp,discharge_nemadji,discharge_brule,airtemp_buoy,watertemp,airtemp_wing,windspeed_lake,winddir_lake,airtemp_slre,windspeed_slre,winddir_slre,precip_slre,year
2020-05-24,lksba,46.721772,-92.06352,,15.457291666666666,7.125,,133,154,,,7.521678321678322,2.4741258741258743,143.33566433566432,12.945833333333333,1.465625,92.46875,0,2020
2020-05-25,lksba,46.721772,-92.06352,,15.884375,9.09375,,128,153,,,7.429370629370629,1.5076923076923077,219.2167832167832,12.354166666666666,1.1833333333333331,102.35416666666669,0,2020
2020-05-26,lksba,46.721772,-92.06352,,15.583333333333334,8.604166666666666,,126,159,,,7.163636363636364,2.1426573426573428,149.7202797202797,10.686458333333333,1.4708333333333334,90.5625,0,2020
2020-05-27,lksba,46.721772,-92.06352,,15.625,12.854166666666668,,553,438,,,14.263636363636364,1.786013986013986,225.35211267605635,19.75625,0.9479166666666669,229.82291666666669,0,2020
2020-05-28,Mawikwe Bay,46.8858,-91.0488,0.9205,,,0.012730314,618,343,,,18.795804195804195,3.0027972027972027,227.7412587412588,19.072916666666668,2.963541666666667,249.27083333333331,0,2020
2020-05-28,lksba,46.721772,-92.06352,,16.05263157894737,5.978947368421052,,618,343,,,18.795804195804195,3.0027972027972027,227.7412587412588,19.072916666666668,2.963541666666667,249.27083333333331,0,2020
2020-05-29,lksba,46.721772,-92.06352,,16.06875,4.8125,,428,279,,,11.676923076923076,5.0181818181818185,273.97202797202794,14.082291666666666,2.8375000000000004,175.63541666666669,0,2020
2020-05-30,lksba,46.721772,-92.06352,,15.853125,3.916666666666667,,313,250,,,11.051048951048951,3.0062937062937065,234.4825174825176,11.888541666666669,1.79375,79.42708333333336,0,2020
2020-05-31,lksba,46.721772,-92.06352,,16.78333333333333,3.7708333333333335,,250,221,,,12.16853146853147,2.195804195804196,163.20979020979016,13.95625,1.3583333333333334,215.20833333333337,0,2020
2020-06-01,lksba,46.721772,-92.06352,,17.667708333333334,6.0625,,213,200,,,15.21984126984127,3.2286713286713287,115.32167832167828,11.969791666666667,1.3729166666666668,85.70833333333334,0,2020
2020-06-02,lksba,46.721772,-92.06352,,17.511458333333334,6.239583333333334,,193,183,,,15.860144927536227,2.4972027972027973,220.27272727272728,19.9,1.1687500000000002,232.59375,0,2020
2020-06-03,lksba,46.721772,-92.06352,,17.834375,6.270833333333334,,175,174,,,18.84895104895105,2.82027972027972,219.48951048951056,19.55625,2.0145833333333334,268.47916666666663,0,2020
2020-06-04,lksba,46.721772,-92.06352,,18.116666666666667,5.21875,,156,170,,,17.745323741007194,2.814685314685315,197.44755244755248,18.747916666666665,1.528125,254.14583333333337,0,2020
2020-06-05,lksba,46.721772,-92.06352,,18.360416666666666,6.5625,,141,165,,,18.84755244755245,3.1370629370629373,206.9720279720279,19.971875,2.8625,214.27083333333331,0,2020
2020-06-06,lksba,46.721772,-92.06352,,18.547916666666666,8.34375,,125,162,,,13.232167832167832,4.314685314685315,133.62237762237748,11.563541666666667,1.9822916666666663,130.77083333333334,0,2020
2020-06-07,lksba,46.721772,-92.06352,,17.047916666666666,10.770833333333332,,113,161,,,10.010869565217392,5.895804195804196,48.676056338028175,7.896875,2.8833333333333333,101.5,0,2020
2020-06-08,lksba,46.721772,-92.06352,,16.446875,6.729166666666666,,108,160,,,7.402097902097902,5.543356643356644,45.90909090909093,10.8125,1.878125,89.6875,0,2020
